"","Dolphin.ID","Dolphin.Name","Sex","Mother.ID","Haplotype","Birth.Date","Birth.Date.Primary.Assigner","Birth.Date.Accuracy","Death.Date","Death.Date.Primary.Assigner","Death.Date.Accuracy","NextCalfBDay","NextCalfBDayAccuracy","NextCalfName","NextCalfID","NextCalfBDayAssigner","Mom.Name","MomBDay","MomDDay","CalfAgeDeath","MomAgeBirth","TimeToNextBirth","DeathMonth","Season","Present","CalfAgeDeathYrs","EventCensored","MomDeadCensored","MomAliveCensored","TimeToEvent","CalfAgeDeathCategories","a.Calf.under.3mo","b.Calf.3mo.to.1y","c.Calf.1y.to.2y","d.Calf.2y.to.3y"
"135","BAL","BALMY",NA,"SOG","A",2004-11-15,"RCC","DAY ESTIMATE",2004-11-29,"JM","WEEK ESTIMATE",2006-01-15,"WEEK ESTIMATE","DAMP","DMP","JM","SOGGY",1991-11-01,NA,14,13.0403832991102,1.12799452429843,11,1,2025-03-30,0.0383299110198494,1,0,0,1.12799452429843,"a.Calf.under.3mo",1,0,0,0
"136","DEW","DEWDROP","UNKNOWN","SOG","A",2015-11-07,"JM","DAY ESTIMATE",2016-04-14,"EK","DAY ESTIMATE",2017-11-19,"DAY ESTIMATE","DOUSE","DOU","CBK","SOGGY",1991-11-01,NA,159,24.0164271047228,1.59890485968515,4,0,2025-03-30,0.435318275154004,1,0,0,1.59890485968515,"b.Calf.3mo.to.1y",0,1,0,0
"137","SKD","SQUIDKID",NA,"SPO","H",2002-04-24,"JM","WEEK ESTIMATE",2002-10-02,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"SPONGEMOM",1972-11-01,2012-05-01,161,29.4757015742642,NA,10,1,2025-03-30,0.440793976728268,0,1,0,9.57973990417522,"b.Calf.3mo.to.1y",0,1,0,0
"138","SQD","SQUIDGY","MALE","SQU","A",1995-11-23,"SHOTOVER","DAY ESTIMATE",1996-08-06,"JM","DAY ESTIMATE",1997-10-08,"DAY ESTIMATE","RHOMBUS","RHO","MRH","SQUARE",1968-11-01,2003-05-01,257,27.0581793292266,1.17180013689254,8,0,2025-03-30,0.70362765229295,1,0,0,1.17180013689254,"b.Calf.3mo.to.1y",0,1,0,0
"139","SHD","SHADOW","MALE","SUR","A",1992-12-16,"DIC","DAY ESTIMATE",1993-03-08,"DIC","DAY ESTIMATE",1994-10-25,"DAY ESTIMATE","SHOCK","SHC","DIC","SURPRISE",1979-11-01,2019-03-25,82,13.1252566735113,1.63175906913073,3,0,2025-03-30,0.224503764544832,1,0,0,1.63175906913073,"a.Calf.under.3mo",1,0,0,0
"140","SYO","SAYONARA","UNKNOWN","SUR","A",2014-12-09,"JM","DAY ESTIMATE",2015-01-06,"JM","DAY ESTIMATE",NA,NA,NA,NA,NA,"SURPRISE",1979-11-01,2019-03-25,28,35.1047227926078,NA,1,1,2025-03-30,0.0766598220396988,0,1,0,4.2135523613963,"a.Calf.under.3mo",1,0,0,0
"141","DYT","DAYTONA","UNKNOWN","TAL","H",2015-11-17,"JM","DAY ESTIMATE",2016-03-11,"JM","MONTH ESTIMATE",2021-11-01,"MONTH ESTIMATE","CHITTY CHITTY BANG BANG","CCB","JM","TALLADEGA",1992-11-01,NA,115,23.0417522245038,5.64271047227926,3,0,2025-03-30,0.314852840520192,1,0,0,5.64271047227926,"b.Calf.3mo.to.1y",0,1,0,0
"142","TIT","TITTERS",NA,"TAT","E",1992-10-01,"AFR","WEEK ESTIMATE",1992-12-12,"JM","MONTH ESTIMATE",1994-11-01,"MONTH ESTIMATE","FETUS","FET","RCC","TATTERS",1978-11-01,1994-06-04,72,13.9164955509925,1.88637919233402,12,1,2025-03-30,0.197125256673511,1,0,0,1.88637919233402,"a.Calf.under.3mo",1,0,0,0
"143","TOP","TOPLESS",NA,"TIP",NA,1992-11-01,"JM","MONTH ESTIMATE",1994-05-26,"JM","WEEK ESTIMATE",NA,NA,NA,NA,NA,"TIPLESS",1980-11-01,1998-05-01,571,12,NA,5,0,2025-03-30,1.56331279945243,0,1,0,3.9315537303217,"c.Calf.1y.to.2y",0,0,1,0
"144","MOR","MORRIS","UNKNOWN","TRE","A",1988-12-20,"RCC","WEEK ESTIMATE",1990-06-03,"JM","DAY ESTIMATE",1994-11-01,"MONTH ESTIMATE","ROOTS","ROO","RCC","TREETRUNX",1970-11-01,2003-05-01,530,18.135523613963,4.41341546885695,6,0,2025-03-30,1.45106091718001,1,0,0,4.41341546885695,"c.Calf.1y.to.2y",0,0,1,0
"145","STM","STUMPY",NA,"TRE","A",1998-11-01,"MRH","MONTH ESTIMATE",2000-03-05,"JM","MONTH ESTIMATE",2001-05-15,"WEEK ESTIMATE","LOGGY","LOG","JM","TREETRUNX",1970-11-01,2003-05-01,490,28,1.1937029431896,3,0,2025-03-30,1.34154688569473,1,0,0,1.1937029431896,"c.Calf.1y.to.2y",0,0,1,0
"146","DYC","DYCKY","UNKNOWN","TRY","E",2000-01-01,"JM","WEEK ESTIMATE",2000-07-28,"EK","MONTH ESTIMATE",2003-02-15,"MONTH ESTIMATE","BEANIE","BNI","JM","TRYCKY",1971-11-01,2015-05-01,209,28.1670088980151,2.55167693360712,7,0,2025-03-30,0.572210814510609,1,0,0,2.55167693360712,"b.Calf.3mo.to.1y",0,1,0,0
"147","QCI","QUICKIE","UNKNOWN","TRY","E",2012-04-01,"JM","WEEK ESTIMATE",2012-06-15,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"TRYCKY",1971-11-01,2015-05-01,75,40.4161533196441,NA,6,0,2025-03-30,0.205338809034908,0,1,0,2.87474332648871,"a.Calf.under.3mo",1,0,0,0
"148","TOD","TOODALOO",NA,"TUK","E",2006-10-29,"SR","DAY ESTIMATE",2007-02-15,"EK","MONTH ESTIMATE",2009-10-01,"WEEK ESTIMATE","ROLL","RLL","MAS","TUK",1984-11-01,2016-04-15,109,21.990417522245,2.62559890485969,2,0,2025-03-30,0.298425735797399,1,0,0,2.62559890485969,"b.Calf.3mo.to.1y",0,1,0,0
"149","RLL","ROLL","UNKNOWN","TUK","E",2009-10-01,"MAS","WEEK ESTIMATE",2011-02-13,"SAS","MONTH ESTIMATE",2014-03-01,"MONTH ESTIMATE","TUXEDO","TUX","JM","TUK",1984-11-01,2016-04-15,500,24.9144421629021,3.0444900752909,2,0,2025-03-30,1.36892539356605,1,0,0,3.0444900752909,"c.Calf.1y.to.2y",0,0,1,0
"150","BNK","BANKSIA","UNKNOWN","TUL","C",2012-09-21,"EK","WEEK ESTIMATE",2012-10-07,"VF","WEEK ESTIMATE",2013-10-25,"DAY ESTIMATE","POPPY","PPP","EK","TULIP",1994-11-01,NA,16,17.8891170431211,1.04859685147159,10,1,2025-03-30,0.0438056125941136,1,0,0,1.04859685147159,"a.Calf.under.3mo",1,0,0,0
"151","RAI","RAISIN",NA,"TWO","D",1999-02-01,"JM","MONTH ESTIMATE",1999-06-27,"JM","DAY ESTIMATE",NA,NA,NA,NA,NA,"TWOSCOOPS",1964-11-01,2002-05-01,146,34.2505133470226,NA,6,0,2025-03-30,0.399726214921287,0,1,0,2.84462696783025,"b.Calf.3mo.to.1y",0,1,0,0
"152","RNV","RENOVATE","UNKNOWN","VAM","G",2003-11-01,"JM","MONTH ESTIMATE",2005-02-13,"JM","MONTH ESTIMATE",2006-01-01,"MONTH ESTIMATE","REVIVE","RVV","JM","REVAMP",1982-11-01,2010-05-01,470,20.9993155373032,0.881587953456537,2,0,2025-03-30,1.28678986995209,1,0,0,0.881587953456537,"c.Calf.1y.to.2y",0,0,1,0
"153","TOH","TOOHEYS","UNKNOWN","VBE","D",2015-11-05,"JM","DAY ESTIMATE",2017-04-13,"JM","MONTH ESTIMATE",2018-11-15,"WEEK ESTIMATE","ELSIE","ESI","VF","VEEBIE",1997-11-01,NA,525,18.009582477755,1.59069130732375,4,0,2025-03-30,1.43737166324435,1,0,0,1.59069130732375,"c.Calf.1y.to.2y",0,0,1,0
"154","ESI","ELSIE",NA,"VBE","D",2018-11-15,"VF","WEEK ESTIMATE",2019-03-15,"VF","MONTH ESTIMATE",2020-10-15,"WEEK ESTIMATE","MATSO","MTO","JM","VEEBIE",1997-11-01,NA,120,21.0376454483231,1.58795345653662,3,0,2025-03-30,0.328542094455852,1,0,0,1.58795345653662,"b.Calf.3mo.to.1y",0,1,0,0
"155","VIC","VICTORIA",NA,"VEC",NA,2001-09-01,"JJW","WEEK ESTIMATE",2002-02-08,"JM","MONTH ESTIMATE",2003-09-15,"WEEK ESTIMATE","SOHCAHTOA","SOH","JJW","VECTOR",1977-11-01,2016-05-01,160,23.8329911019849,1.59890485968515,2,0,2025-03-30,0.438056125941136,1,0,0,1.59890485968515,"b.Calf.3mo.to.1y",0,1,0,0
"156","SOH","SOHCAHTOA",NA,"VEC",NA,2003-09-15,"JJW","WEEK ESTIMATE",2004-06-16,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"VECTOR",1977-11-01,2016-05-01,275,25.8699520876112,NA,6,0,2025-03-30,0.752908966461328,0,1,0,11.8740588637919,"b.Calf.3mo.to.1y",0,1,0,0
"157","WBB","WOBBLE",NA,"WAN","D",2001-11-15,"LAB","MONTH ESTIMATE",2002-05-30,"JM","MONTH ESTIMATE",2004-10-13,"DAY ESTIMATE","WHIPPLE","WHP","MK","WANDA",1979-11-01,2013-10-13,196,22.0396988364134,2.37371663244353,5,0,2025-03-30,0.536618754277892,1,0,0,2.37371663244353,"b.Calf.3mo.to.1y",0,1,0,0
"158","WDR","WONDER",NA,"WOF","A",2019-02-06,"DIC","DAY ESTIMATE",2019-04-09,"JM","DAY ESTIMATE",2020-12-15,"WEEK ESTIMATE","WAGS","WAG","JM","WOOF",1998-10-19,2022-08-28,62,20.3011635865845,1.68651608487337,4,0,2025-03-30,0.16974674880219,1,0,0,1.68651608487337,"a.Calf.under.3mo",1,0,0,0
"159","DPT","DIPROTODON",NA,"WOM","A",1999-11-01,"VF","MONTH ESTIMATE",2000-12-19,"VF","MONTH ESTIMATE",2003-05-01,"MONTH ESTIMATE","BOODIE","BDI","JM","WOMBAT",1988-11-01,2009-05-01,414,10.9979466119097,2.362765229295,12,1,2025-03-30,1.13347022587269,1,0,0,2.362765229295,"c.Calf.1y.to.2y",0,0,1,0
"160","BDI","BOODIE",NA,"WOM","A",2003-05-01,"JM","MONTH ESTIMATE",2005-03-10,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"WOMBAT",1988-11-01,2009-05-01,679,14.4941820670773,NA,3,0,2025-03-30,1.8590006844627,0,1,0,4.14236824093087,"c.Calf.1y.to.2y",0,0,1,0
"161","SLL","SILLY",NA,"WYL","E",1993-11-01,"JM","MONTH ESTIMATE",1994-06-16,"JM","WEEK ESTIMATE",1995-11-01,"MONTH ESTIMATE","FRILLY","FRL","JM","WYLLY",1978-11-01,2011-05-01,227,15.0006844626968,1.37713894592745,6,0,2025-03-30,0.621492128678987,1,0,0,1.37713894592745,"b.Calf.3mo.to.1y",0,1,0,0
"162","YOD","YODA","FEMALE","YAN","E",1991-01-01,"JM","WEEK ESTIMATE",1991-09-30,"JM","DAY ESTIMATE",NA,NA,NA,NA,NA,"YAN",1972-11-01,1998-05-01,272,18.1656399726215,NA,9,1,2025-03-30,0.744695414099932,0,1,0,6.5845311430527,"b.Calf.3mo.to.1y",0,1,0,0
