"","Dolphin.ID","Dolphin.Name","Sex","Mother.ID","Haplotype","Birth.Date","Birth.Date.Primary.Assigner","Birth.Date.Accuracy","Death.Date","Death.Date.Primary.Assigner","Death.Date.Accuracy","NextCalfBDay","NextCalfBDayAccuracy","NextCalfName","NextCalfID","NextCalfBDayAssigner","Mom.Name","MomBDay","MomDDay","CalfAgeDeath","MomAgeBirth","TimeToNextBirth","DeathMonth","Season"
"254","RVV","REVIVE","UNKNOWN","VAM","G",2006-01-01,"JM","MONTH ESTIMATE",2007-04-26,"EK","MONTH ESTIMATE",NA,NA,NA,NA,NA,"REVAMP",1982-11-01,2010-05-01,480,8462,NA,4,0
"255","TOH","TOOHEYS","UNKNOWN","VBE","D",2015-11-05,"JM","DAY ESTIMATE",2017-04-13,"JM","MONTH ESTIMATE",2018-11-15,"WEEK ESTIMATE","ELSIE","ESI","VF","VEEBIE",1997-11-01,NA,525,6578,581,4,0
"256","ESI","ELSIE",NA,"VBE","D",2018-11-15,"VF","WEEK ESTIMATE",2019-03-15,"VF","MONTH ESTIMATE",2020-10-15,"WEEK ESTIMATE","MATSO","MTO","JM","VEEBIE",1997-11-01,NA,120,7684,580,3,0
"257","MTO","MATSO","MALE","VBE","D",2020-10-15,"JM","WEEK ESTIMATE",2023-05-31,"VF","WEEK ESTIMATE",2024-10-07,"DAY ESTIMATE","EXPORT","EXP","JM","VEEBIE",1997-11-01,NA,958,8384,495,5,0
"258","VIC","VICTORIA",NA,"VEC",NA,2001-09-01,"JJW","WEEK ESTIMATE",2002-02-08,"JM","MONTH ESTIMATE",2003-09-15,"WEEK ESTIMATE","SOHCAHTOA","SOH","JJW","VECTOR",1977-11-01,2016-05-01,160,8705,584,2,0
"259","SOH","SOHCAHTOA",NA,"VEC",NA,2003-09-15,"JJW","WEEK ESTIMATE",2004-06-16,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"VECTOR",1977-11-01,2016-05-01,275,9449,NA,6,0
"260","SIR","SIRIUS",NA,"VEN",NA,1990-11-01,"JM","DAY ESTIMATE",1990-12-23,"JM","WEEK ESTIMATE",NA,NA,NA,NA,NA,"VENUS",1974-11-01,1993-05-01,52,5844,NA,12,1
"261","VAC","VACUUM",NA,"VOI",NA,1990-12-27,"AFR","WEEK ESTIMATE",1991-03-15,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"VOID",1978-11-01,1996-05-01,78,4439,NA,3,0
"262","WBB","WOBBLE",NA,"WAN","D",2001-11-15,"LAB","MONTH ESTIMATE",2002-05-30,"JM","MONTH ESTIMATE",2004-10-13,"DAY ESTIMATE","WHIPPLE","WHP","MK","WANDA",1979-11-01,2013-10-13,196,8050,867,5,0
"263","WNK","WINK",NA,"WED","D",1996-12-15,"KH","WEEK ESTIMATE",1998-03-17,"JM","MONTH ESTIMATE",1999-05-17,"WEEK ESTIMATE","WHOOPS","WHO","JM","WEDGES",1972-11-01,2011-05-01,457,8810,426,3,0
"264","WBX","WEETABIX",NA,"WEL",NA,2004-03-25,"JM","WEEK ESTIMATE",2005-01-29,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"WELLY",1983-11-01,2013-05-01,310,7450,NA,1,1
"265","WMP","WHIMPER","FEMALE","WHN","D",2016-03-01,"VF","WEEK ESTIMATE",2018-03-05,"EK","MONTH ESTIMATE",2019-03-15,"WEEK ESTIMATE","WHEEDLE","WHD","TCC","WHINE",2002-11-01,NA,734,4869,375,3,0
"266","EGS","EGGSHELL","UNKNOWN","WHT",NA,2012-10-15,"EK","DAY ESTIMATE",2013-02-17,"JM","MONTH ESTIMATE",2014-10-01,"WEEK ESTIMATE","TIGHTY","TIH","JM","WHITEY",1988-11-01,NA,125,8749,591,2,0
"267","MGT","MAGNETO",NA,"WLV",NA,2023-12-01,"CCC","DAY ESTIMATE",2024-02-26,"CCC","WEEK ESTIMATE",NA,NA,NA,NA,NA,"WOLVERINE",2000-11-01,NA,87,8430,NA,2,0
"268","WDR","WONDER",NA,"WOF","A",2019-02-06,"DIC","DAY ESTIMATE",2019-04-09,"JM","DAY ESTIMATE",2020-12-15,"WEEK ESTIMATE","WAGS","WAG","JM","WOOF",1998-10-19,2022-08-28,62,7415,616,4,0
"269","DPT","DIPROTODON",NA,"WOM","A",1999-11-01,"VF","MONTH ESTIMATE",2000-12-19,"VF","MONTH ESTIMATE",2003-05-01,"MONTH ESTIMATE","BOODIE","BDI","JM","WOMBAT",1988-11-01,2009-05-01,414,4017,863,12,1
"270","BDI","BOODIE",NA,"WOM","A",2003-05-01,"JM","MONTH ESTIMATE",2005-03-10,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"WOMBAT",1988-11-01,2009-05-01,679,5294,NA,3,0
"271","SLL","SILLY",NA,"WYL","E",1993-11-01,"JM","MONTH ESTIMATE",1994-06-16,"JM","WEEK ESTIMATE",1995-11-01,"MONTH ESTIMATE","FRILLY","FRL","JM","WYLLY",1978-11-01,2011-05-01,227,5479,503,6,0
"272","YOD","YODA","FEMALE","YAN","E",1991-01-01,"JM","WEEK ESTIMATE",1991-09-30,"JM","DAY ESTIMATE",NA,NA,NA,NA,NA,"YAN",1972-11-01,1998-05-01,272,6635,NA,9,1
"273","YYO","YOYO",NA,"YIN","E",1997-01-01,"KH","WEEK ESTIMATE",1997-05-01,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"YIN",1984-11-01,1997-05-01,120,4444,NA,5,0
"274","ZOM","ZOOM",NA,"ZEP",NA,2021-11-01,"VF","WEEK ESTIMATE",2022-02-10,"VF","WEEK ESTIMATE",2023-02-24,"DAY ESTIMATE","ZAFFIRO","ZFO","CCC","ZEPPLIN",2000-11-01,NA,101,7670,379,2,0
"275","ZFO","ZAFFIRO",NA,"ZEP","D",2023-02-24,"CCC","DAY ESTIMATE",2023-03-01,"CCC","DAY ESTIMATE",2024-03-23,"WEEK ESTIMATE","ZAZA","ZAZ","CCC","ZEPPLIN",2000-11-01,NA,5,8150,388,3,0
"276","ZOR","ZORRO","MALE","ZIP","D",2005-12-10,"JM","MONTH ESTIMATE",2008-01-08,"JM","MONTH ESTIMATE",2009-09-17,"DAY ESTIMATE","ZULU","ZUL","EK","ZIPPY",1986-11-01,2017-04-03,759,6979,618,1,1
"277","ZPO","ZEPPO","UNKNOWN","ZIP","D",2016-10-19,"CBK","DAY ESTIMATE",2017-04-03,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"ZIPPY",1986-11-01,2017-04-03,166,10945,NA,4,0
