"","Dolphin.ID","Dolphin.Name","Sex","Mother.ID","Haplotype","Birth.Date","Birth.Date.Primary.Assigner","Birth.Date.Accuracy","Death.Date","Death.Date.Primary.Assigner","Death.Date.Accuracy","NextCalfBDay","NextCalfBDayAccuracy","NextCalfName","NextCalfID","NextCalfBDayAssigner","Mom.Name","MomBDay","MomDDay","CalfAgeDeath","MomAgeBirth","TimeToNextBirth","DeathMonth","Season"
"179","OBT","ORBIT",NA,"PDX",NA,1988-11-01,"RCC","MONTH ESTIMATE",1989-05-18,"JM","WEEK ESTIMATE",NA,NA,NA,NA,NA,"POINDEXTER",1966-11-01,1995-05-01,198,8036,NA,5,0
"180","ANK","ANKLET",NA,"PEG","A",2000-11-23,"RW","DAY ESTIMATE",2001-01-11,"JM","DAY ESTIMATE",2003-01-01,"DAY ESTIMATE","STARLET","STA","AS","PEGLET",1989-11-01,2015-06-18,49,4040,720,1,1
"181","ILU","ILLUSION",NA,"PHA","A",2024-02-22,"CCC","WEEK ESTIMATE",2024-06-28,"VF","DAY ESTIMATE",NA,NA,NA,NA,NA,"PHANTOM",1986-11-01,NA,127,13627,NA,6,0
"182","PHI","PHILOS",NA,"PHO","D",2018-12-24,"JM","WEEK ESTIMATE",2020-01-20,"VF","MONTH ESTIMATE",2021-11-01,"WEEK ESTIMATE","PHORCYS","PHR","VF","PHOEBE",2000-11-01,NA,392,6627,651,1,1
"183","HAP","HARP","UNKNOWN","PIC","E",2015-12-11,"JM","DAY ESTIMATE",2015-12-14,"JM","DAY ESTIMATE",2017-01-08,"DAY ESTIMATE","DIZI","DIZ","DIC","PICCOLO",1992-12-06,NA,3,8405,391,12,1
"184","DIZ","DIZI","UNKNOWN","PIC","E",2017-01-08,"DIC","DAY ESTIMATE",2017-03-16,"JM","DAY ESTIMATE",2018-10-14,"DAY ESTIMATE","PANFLUTE","PNF","DIC","PICCOLO",1992-12-06,NA,67,8799,577,3,0
"185","EXO","EXORCIST","UNKNOWN","POL","E",2012-11-01,"MMW","MONTH ESTIMATE",2014-05-09,"JM","MONTH ESTIMATE",2015-10-21,"DAY ESTIMATE","HALLOWEEN","HLW","EK","POLTERGEIST",1994-11-01,2019-05-01,554,6575,530,5,0
"186","HLW","HALLOWEEN","UNKNOWN","POL","E",2015-10-21,"EK","DAY ESTIMATE",2016-06-23,"JM","WEEK ESTIMATE",NA,NA,NA,NA,NA,"POLTERGEIST",1994-11-01,2019-05-01,246,7659,NA,6,0
"187","TIO","TERIOR",NA,"POS","A",2005-09-01,"JM","MONTH ESTIMATE",2007-01-21,"SAS","MONTH ESTIMATE",2009-10-01,"MONTH ESTIMATE","SESSION","SSI","JM","POS",1983-11-01,2017-05-01,507,7975,984,1,1
"188","SSI","SESSION","UNKNOWN","POS","A",2009-10-01,"JM","MONTH ESTIMATE",2012-01-25,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"POS",1983-11-01,2017-05-01,846,9466,NA,1,1
"189","PPO","PERSEPOLIS","UNKNOWN","PSI",NA,2015-07-17,"EK","WEEK ESTIMATE",2017-09-17,"JM","MONTH ESTIMATE",2021-11-01,"MONTH ESTIMATE","SAFFRON","SAF","VF","PERSIA",1992-11-01,NA,793,8293,1506,9,1
"190","PDD","PUDDIN",NA,"PSU","E",1994-11-01,"JM","MONTH ESTIMATE",1995-05-19,"JM","MONTH ESTIMATE",1996-10-07,"DAY ESTIMATE","SYMPHONY","SYM","KH","PSEUDOPEE",1966-11-01,2005-05-01,199,10227,507,5,0
"191","NNM","NONAME",NA,"PUC","E",1989-01-10,"DIC","WEEK ESTIMATE",1989-01-30,"DIC","DAY ESTIMATE",1990-03-02,"DAY ESTIMATE","PETAL","PET","DIC","PUCK",1976-12-01,2019-03-22,20,4423,396,1,1
"192","PET","PETAL",NA,"PUC","E",1990-03-02,"DIC","DAY ESTIMATE",1990-03-07,"DIC","DAY ESTIMATE",1991-05-18,"DAY ESTIMATE","PEPE","PEP","DIC","PUCK",1976-12-01,2019-03-22,5,4839,437,3,0
"193","PEP","PEPE","MALE","PUC","E",1991-05-18,"DIC","DAY ESTIMATE",1991-06-28,"JM","DAY ESTIMATE",1992-12-06,"DAY ESTIMATE","PICCOLO","PIC","DIC","PUCK",1976-12-01,2019-03-22,41,5281,527,6,0
"194","WAD","WADA","FEMALE","PUC","E",2002-12-06,"AS","DAY ESTIMATE",2003-03-31,"DIC","DAY ESTIMATE",2004-05-07,"DAY ESTIMATE","INDIA","INI","DIC","PUCK",1976-12-01,2019-03-22,115,9501,403,3,0
"195","ENI","ENIGMA","UNKNOWN","PZL",NA,2017-12-15,"JM","WEEK ESTIMATE",2018-12-30,"JM","MONTH ESTIMATE",2020-11-01,"MONTH ESTIMATE","PARADOX","PAX","JM","PUZZLE",1996-11-01,NA,380,7714,672,12,1
"196","KID","KIDOGO",NA,"RAN",NA,1988-06-25,"JM","WEEK ESTIMATE",1989-05-01,"JM","MONTH ESTIMATE",1990-11-01,"MONTH ESTIMATE","RAVE","RAV","JM","RANT",1976-11-01,2002-05-01,310,4254,549,5,0
"197","STU","STUBBLE",NA,"RAZ",NA,1988-11-01,"JM","MONTH ESTIMATE",1989-12-09,"JM","MONTH ESTIMATE",NA,NA,NA,NA,NA,"RAZOR",1959-11-01,1994-05-01,403,10593,NA,12,1
"198","CBC","CUBIC","UNKNOWN","RHO","A",2010-12-21,"EK","DAY ESTIMATE",2011-03-21,"JM","WEEK ESTIMATE",2012-11-01,"WEEK ESTIMATE","DIAMOND","DIA","JM","RHOMBUS",1997-10-08,NA,90,4822,591,3,0
"199","RBX","RUBIX","UNKNOWN","RHO","A",2020-12-04,"JM","DAY ESTIMATE",2021-02-25,"VF","WEEK ESTIMATE",2022-11-03,"DAY ESTIMATE","HELIX","HLX","DIC","RHOMBUS",1997-10-08,NA,83,8458,616,2,0
"200","HLX","HELIX",NA,"RHO","A",2022-11-03,"DIC","DAY ESTIMATE",2023-08-08,"MMQ","WEEK ESTIMATE",2025-01-11,"DAY ESTIMATE","SPIRAL","SIA","DIC","RHOMBUS",1997-10-08,NA,278,9157,522,8,0
"201","MET","METRONOME","UNKNOWN","RHY","D",1998-11-01,"JM","MONTH ESTIMATE",1999-10-01,"EK","MONTH ESTIMATE",2000-11-01,"MONTH ESTIMATE","BLUES","BES","JM","RHYTHYM",1984-11-01,NA,334,5113,397,10,1
"202","KIP","KIPLING",NA,"RIP","E",2005-11-01,"JM","MONTH ESTIMATE",2006-11-11,"JM","MONTH ESTIMATE",2009-12-01,"WEEK ESTIMATE","NEWT","NET","JM","RIPLEY",1993-12-01,NA,375,4353,1116,11,1
